STATION_NAME,STN_ID,LAT,LON,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,30.52,31.19,27.46,24.83,20.83,17.98,17.14,17.56,19.98,22.81,26.56,28.37
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,24.98,25.54,24.43,22.89,19.55,17.27,16.35,16.49,18.18,19.27,21.26,23.42
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,42.69,40.99,38.85,34.63,28.62,24.96,23.66,28.19,33.56,36.69,39.05,40.75
AMBERLEY-AMO,40004,-27.63,152.71,33.51,32.11,31.07,28.41,25.48,23.38,23.22,24.34,27.86,29.97,31.22,32.84
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,39.31,38.6,37.79,33.49,29.56,27.06,26.86,27.82,33.73,37.18,37.85,39.22
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,29.93,29.52,26.21,21.97,17.39,13.48,12.85,13.95,18.03,21.13,23.93,27.42
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,39.94,38.95,36.31,31.63,27.08,23.56,22.67,24.34,29.29,32.33,35.52,39.11
BOULIA-AIRPORT,38003,-22.91,139.9,40.39,39.72,37.54,33.9,28.98,25.25,25.85,28.31,32.82,35.08,38.35,39.58
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,38.19,36.58,33.58,27.81,23.37,20.12,18.62,21.69,25.81,29.12,32.55,36.33
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,31.99,31.95,29.51,26.11,21.93,19.57,17.91,18.14,19.94,22.42,26.49,29.42
BRISBANE-AERO,40842,-27.39,153.12,30.28,29.86,28.93,27.09,24.97,22.72,22.08,22.98,25.53,27.37,28.3,29.47
BROOME-AIRPORT,3003,-17.95,122.23,35.14,34.15,34.81,36.05,33.21,31.03,30.61,31.65,32.88,34.11,34.74,34.55
BUNDABERG-AERO,39128,-24.91,152.32,31.86,31.34,30.22,28.72,26.05,23.96,23.26,24.01,26.47,27.99,29.3,31.03
BURKETOWN-AIRPORT,29077,-17.75,139.54,36.2,35.75,36.53,36.6,34.25,31.98,31.29,32.69,35.39,37.54,38.29,37.77
